File,Hour,SBL
SB_MAY_4.csv,0,1
SB_MAY_4.csv,1,1
SB_MAY_4.csv,2,1
SB_MAY_4.csv,3,0
SB_MAY_4.csv,4,0
SB_MAY_4.csv,5,0
SB_MAY_4.csv,6,4
SB_MAY_4.csv,7,10
SB_MAY_4.csv,8,13
SB_MAY_4.csv,9,23
SB_MAY_4.csv,10,19
SB_MAY_4.csv,11,19
SB_MAY_4.csv,12,28
SB_MAY_4.csv,13,14
SB_MAY_4.csv,14,19
SB_MAY_4.csv,15,23
SB_MAY_4.csv,16,21
SB_MAY_4.csv,17,29
SB_MAY_4.csv,18,19
SB_MAY_4.csv,19,11
SB_MAY_4.csv,20,18
SB_MAY_4.csv,21,16
SB_MAY_4.csv,22,7
SB_MAY_5.csv,0,1
SB_MAY_5.csv,1,0
SB_MAY_5.csv,2,0
SB_MAY_5.csv,3,1
SB_MAY_5.csv,4,0
SB_MAY_5.csv,5,2
SB_MAY_5.csv,6,4
SB_MAY_5.csv,7,10
SB_MAY_5.csv,8,5
SB_MAY_5.csv,9,16
SB_MAY_5.csv,10,16
SB_MAY_5.csv,11,14
SB_MAY_5.csv,12,12
SB_MAY_5.csv,13,20
SB_MAY_5.csv,14,19
SB_MAY_5.csv,15,11
SB_MAY_5.csv,16,26
SB_MAY_5.csv,17,24
SB_MAY_5.csv,18,37
SB_MAY_5.csv,19,16
SB_MAY_5.csv,20,13
SB_MAY_5.csv,21,9
SB_MAY_5.csv,22,7
SB_MAY_6.csv,0,1
SB_MAY_6.csv,1,0
SB_MAY_6.csv,2,0
SB_MAY_6.csv,3,0
SB_MAY_6.csv,4,0
SB_MAY_6.csv,5,0
SB_MAY_6.csv,6,5
SB_MAY_6.csv,7,5
SB_MAY_6.csv,8,15
SB_MAY_6.csv,9,15
SB_MAY_6.csv,10,5
SB_MAY_6.csv,11,17
SB_MAY_6.csv,12,17
SB_MAY_6.csv,13,15
SB_MAY_6.csv,14,17
SB_MAY_6.csv,15,29
SB_MAY_6.csv,16,26
SB_MAY_6.csv,17,23
SB_MAY_6.csv,18,16
SB_MAY_6.csv,19,16
SB_MAY_6.csv,20,14
SB_MAY_6.csv,21,13
SB_MAY_6.csv,22,8
SB_MAY_7.csv,0,0
SB_MAY_7.csv,1,1
SB_MAY_7.csv,2,0
SB_MAY_7.csv,3,0
SB_MAY_7.csv,4,0
SB_MAY_7.csv,5,1
SB_MAY_7.csv,6,2
SB_MAY_7.csv,7,6
SB_MAY_7.csv,8,11
SB_MAY_7.csv,9,15
SB_MAY_7.csv,10,16
SB_MAY_7.csv,11,16
SB_MAY_7.csv,12,15
SB_MAY_7.csv,13,20
SB_MAY_7.csv,14,23
SB_MAY_7.csv,15,28
SB_MAY_7.csv,16,32
SB_MAY_7.csv,17,32
SB_MAY_7.csv,18,26
SB_MAY_7.csv,19,18
SB_MAY_7.csv,20,14
SB_MAY_7.csv,21,7
SB_MAY_7.csv,22,9
SB_MAY_8.csv,0,0
SB_MAY_8.csv,1,0
SB_MAY_8.csv,2,0
SB_MAY_8.csv,3,0
SB_MAY_8.csv,4,1
SB_MAY_8.csv,5,0
SB_MAY_8.csv,6,1
SB_MAY_8.csv,7,9
SB_MAY_8.csv,8,10
SB_MAY_8.csv,9,14
SB_MAY_8.csv,10,24
SB_MAY_8.csv,11,25
SB_MAY_8.csv,12,19
SB_MAY_8.csv,13,21
SB_MAY_8.csv,14,21
SB_MAY_8.csv,15,23
SB_MAY_8.csv,16,24
SB_MAY_8.csv,17,28
SB_MAY_8.csv,18,23
SB_MAY_8.csv,19,19
SB_MAY_8.csv,20,14
SB_MAY_8.csv,21,15
SB_MAY_8.csv,22,20
SB_MAY_11.csv,0,1
SB_MAY_11.csv,1,1
SB_MAY_11.csv,2,0
SB_MAY_11.csv,3,1
SB_MAY_11.csv,4,0
SB_MAY_11.csv,5,1
SB_MAY_11.csv,6,2
SB_MAY_11.csv,7,9
SB_MAY_11.csv,8,8
SB_MAY_11.csv,9,18
SB_MAY_11.csv,10,17
SB_MAY_11.csv,11,13
SB_MAY_11.csv,12,17
SB_MAY_11.csv,13,22
SB_MAY_11.csv,14,30
SB_MAY_11.csv,15,12
SB_MAY_11.csv,16,27
SB_MAY_11.csv,17,30
SB_MAY_11.csv,18,38
SB_MAY_11.csv,19,23
SB_MAY_11.csv,20,13
SB_MAY_11.csv,21,11
SB_MAY_11.csv,22,4
SB_MAY_12.csv,0,0
SB_MAY_12.csv,1,0
SB_MAY_12.csv,2,0
SB_MAY_12.csv,3,1
SB_MAY_12.csv,4,0
SB_MAY_12.csv,5,0
SB_MAY_12.csv,6,3
SB_MAY_12.csv,7,11
SB_MAY_12.csv,8,14
SB_MAY_12.csv,9,15
SB_MAY_12.csv,10,19
SB_MAY_12.csv,11,21
SB_MAY_12.csv,12,18
SB_MAY_12.csv,13,27
SB_MAY_12.csv,14,18
SB_MAY_12.csv,15,20
SB_MAY_12.csv,16,36
SB_MAY_12.csv,17,33
SB_MAY_12.csv,18,25
SB_MAY_12.csv,19,20
SB_MAY_12.csv,20,20
SB_MAY_12.csv,21,12
SB_MAY_12.csv,22,5
SB_MAY_13.csv,0,2
SB_MAY_13.csv,1,0
SB_MAY_13.csv,2,0
SB_MAY_13.csv,3,0
SB_MAY_13.csv,4,0
SB_MAY_13.csv,5,0
SB_MAY_13.csv,6,3
SB_MAY_13.csv,7,8
SB_MAY_13.csv,8,17
SB_MAY_13.csv,9,17
SB_MAY_13.csv,10,16
SB_MAY_13.csv,11,24
SB_MAY_13.csv,12,24
SB_MAY_13.csv,13,22
SB_MAY_13.csv,14,20
SB_MAY_13.csv,15,20
SB_MAY_13.csv,16,27
SB_MAY_13.csv,17,32
SB_MAY_13.csv,18,23
SB_MAY_13.csv,19,15
SB_MAY_13.csv,20,16
SB_MAY_13.csv,21,14
SB_MAY_13.csv,22,9
SB_MAY_14.csv,0,3
SB_MAY_14.csv,1,3
SB_MAY_14.csv,2,1
SB_MAY_14.csv,3,1
SB_MAY_14.csv,4,0
SB_MAY_14.csv,5,1
SB_MAY_14.csv,6,7
SB_MAY_14.csv,7,10
SB_MAY_14.csv,8,18
SB_MAY_14.csv,9,12
SB_MAY_14.csv,10,12
SB_MAY_14.csv,11,23
SB_MAY_14.csv,12,18
SB_MAY_14.csv,13,26
SB_MAY_14.csv,14,17
SB_MAY_14.csv,15,24
SB_MAY_14.csv,16,32
SB_MAY_14.csv,17,30
SB_MAY_14.csv,18,21
SB_MAY_14.csv,19,19
SB_MAY_14.csv,20,24
SB_MAY_14.csv,21,15
SB_MAY_14.csv,22,9
SB_MAY_15.csv,0,0
SB_MAY_15.csv,1,0
SB_MAY_15.csv,2,0
SB_MAY_15.csv,3,0
SB_MAY_15.csv,4,2
SB_MAY_15.csv,5,1
SB_MAY_15.csv,6,3
SB_MAY_15.csv,7,9
SB_MAY_15.csv,8,13
SB_MAY_15.csv,9,19
SB_MAY_15.csv,10,13
SB_MAY_15.csv,11,23
SB_MAY_15.csv,12,20
SB_MAY_15.csv,13,27
SB_MAY_15.csv,14,17
SB_MAY_15.csv,15,29
SB_MAY_15.csv,16,32
SB_MAY_15.csv,17,20
SB_MAY_15.csv,18,24
SB_MAY_15.csv,19,18
SB_MAY_15.csv,20,19
SB_MAY_15.csv,21,11
SB_MAY_15.csv,22,17
TOTAL,,2987
